Source	Target	Change
Tu meentik janal ich kool	Tu meentik janal ich kool	NOCHANGE
To'one' ajkoonolo'on	To'one' ajkoonolo'on	NOCHANGE
Ma' ts'oka'an a beele'exi'	Ma' ts'oka'an k beeli'	PERSON:1_PL
Táan u bin koonol merkaado	Táan k bin koonol merkaado	PERSON:1_PL
Ma' a wojele'ex u ja'abili'	Ma' a wojel u ja'abili'	PERSON:2_SI
Táan wáaj u boono'ob tu naajil xook	Táan wáaj a boone'ex xook tu naajil xook	PERSON:2_PL
Sáansamal ku bino'ob merkaado	Sáansamal ku bino'ob merkaado	NOCHANGE
Ma' u ya'aliko'ob u k'aaba'	Ma' k a'alik u k'aaba'	PERSON:1_PL
Jweeno'ob merkaado	Jweene'ex merkaado	PERSON:2_PL
Ma' ts'oka'an k beeli'	Ma' ts'oka'an a beeli'	PERSON:2_SI
Táan u kaxtik a najil	Tu kaxko'ob a najil	PERSON:3_PL
J-jaano'on merkaado	J-jaano'on merkaado	NOCHANGE
Táan wáaj k báaxal tu naajil báaxal	Táan wáaj a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Yaan u boon tu naajil xook	Yaan a boone'ex xook tu naajil xook	PERSON:2_PL
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
Te'exe' jbúule'ex wáaj	Te'exe' jbúule'ex wáaj	NOCHANGE
Ma' ta wu'uyike'ex wáaj ooxoli'	Te'exe' ka wu'uyike'ex wáaj ooxol	TYPE:AFF;SUBTYPE:INT
K'a'abéet wáaj in jóok'ol koonol tu k'íiwikil koonol	Kin jóok'ol wáaj koonol tu k'íiwikil koonol	ASPECT:HAB;TENSE:PRE_SIM
To'one' ti' kajakbalo'on tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	NOCHANGE
Leti'e' yaan meyaj ti' biología	Leti'e' yaan meyaj ti' biología	NOCHANGE
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	Máax yéetel taak a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:DES
Yaan wáaj a bin koonol merkaado	Yaan wáaj a bin koonol merkaado	NOCHANGE
Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'	PERSON:3_PL
Kin wilikech te' tu kúuchil báaxalo'	Táan in wilikech te' tu kúuchil báaxalo'	ASPECT:PRG
Jach wáaj k'a'abéet in bin merkaado	Jach wáaj k'a'abéet u bino'ob merkaado	PERSON:3_PL
Yaan wáaj u bino'ob koonol merkaado	Yaan wáaj u bino'ob koonol merkaado	NOCHANGE
Ts'oka'an wáaj k beel	Ts'oka'an wáaj k beel	NOCHANGE
Yaan wáaj k bin koonol merkaado	Yaan wáaj a bin koonol merkaado	PERSON:2_SI
Ki'imak in wóol in bin merkaado	Ki'imak in wóol in bin merkaado	NOCHANGE
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak u chukiko'ob u ja'abil	NOCHANGE
Táan u báaxal tu naajil báaxal	Táan a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Tan k k'íilkab	Tan k k'íilkab	NOCHANGE
Táan u kaxtik a najil	Táan ek kaxtik a najil	PERSON:1_PL
Tu kaxtik a najil	Tan k kaxtik a najil	PERSON:1_PL
Ma' táan k bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ta núukaje'ex buka'aj a ja'abile'ex	Tek núukaj buka'aj k ja'abil	PERSON:1_PL
Táan k báaxal tu naajil báaxal	Táan a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Teche' a jatsmajabáaj	Teche' a jatsmajabáaj	NOCHANGE
Te'exe' ma' jbúule'exi'	Teche' ma' jbúulechi'	PERSON:2_SI
Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Yaan a báaxal tu naajil báaxal	Yaan u báaxal tu naajil báaxal	PERSON:3_SI
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL
Tu'ux kajakbale'ex	Tu'ux kajakbalech	PERSON:2_SI
Ki'imak a wóol wáaj a bin ich kool	Ki'imak a wóol wáaj a bin ich kool	NOCHANGE
J-jaano'on merkaado	J-jaanech merkaado	PERSON:2_SI
To'one' ma' jbúulo'on wáaj	To'one' ma' jbúulo'on wáaj	NOCHANGE
Te' a taal tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	PERSON:2_PL
Yaan wáaj a bine'ex ich kool	Yaan wáaj ek bin ich kool	PERSON:1_PL
Ma' k ojel u ja'abili'	Ma' a wojele'ex u ja'abili'	PERSON:2_PL
Yaan in suut koonol merkaado	Taak in suut koonol merkaado	ASPECT:DES
Te'exe' kajakbale'ex weye'	Te'exe' kajakbale'ex weye'	NOCHANGE
Leti'e' u k'aaba'e'	To'one' in k'aaba'one'	ASPECT:HAB;PERSON:1_PL
Ka'abeje' yaan a bine'ex koonol merkaado	Ka'abeje' yaan a bin koonol merkaado	PERSON:2_SI
ka ts'íibe'ex tu naajil xook	ka ts'íibe'ex tu naajil xook	NOCHANGE
Táan u meyajo'ob ich kool	Táan ek meyaj ich kool	PERSON:1_PL
Ma' tan a k'íilkabe'exi'	Ma' tan u k'íilkabi'	PERSON:3_SI
Leti'obe' ts'oka'an wáaj u beelo'ob	Te'exe' ts'oka'an wáaj a beele'ex	PERSON:2_PL
Táan wáaj a boon tu naajil xook	Táan wáaj a boon tu naajil xook	NOCHANGE
Ma' táan u bin koonol merkaadoi'	Ma' táan u bin koonol merkaadoi'	NOCHANGE
Ta míistaj wáaj a wotoch	Ta míistaj wáaj a wotoch	NOCHANGE
Ma' k'aja'anto'on buka'aj k ja'abili'	Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	PERSON:2_PL
Tan k kaxtik a najil	Táan u kaxtiko'ob a naajil	PERSON:3_PL
Yaan ti' teen 18 ja'abo'ob	Yaan ti' teen 18 ja'abo'ob	NOCHANGE
Ma' tin wilikech tu k'íiwikil koonol	Ma' tin wilikech tu k'íiwikil koonol	NOCHANGE
Táan u kaxtiko'ob a naajil	Táan u kaxtiko'ob a naajil	NOCHANGE
Teche' ka bin xíimbal tu yotoch	Teche' ka bin xíimbal tu yotoch	NOCHANGE
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	NOCHANGE
Tin wáaj konaj in najil	Tin wáaj konaj in najil	NOCHANGE
Táan wáaj k báaxal tu naajil báaxal	Táan wáaj u báaxal tu naajil báaxal	PERSON:3_SI
To'one' k jatsmajekbáaj	Leti'e' u jatsmajubáaj	PERSON:3_SI
Tu'ux kajakbalo'on	Tu'ux kajakbal	PERSON:3_SI
Jach k'a'abéet a bine'ex ta koole'ex	Jach k'a'abéet a bine'ex ta koole'ex	NOCHANGE
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Táan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG
Máax yéetel táan a bin koonol tu kúuchil báaxal	Máax yéetel suuk a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:CUS
Táan u boon tu naajil xook	Táan k boon tu naajil xook	PERSON:1_PL
Táan a bin koonol tu k'íiwikil koonol	Táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
To'onen yaanto'on u áanalte'il k xook matemáticas	To'onen yaanto'on u áanalte'il k xook matemáticas	NOCHANGE
Leti'e' ajkoonol ichil merkaado	To'one' ajkoonolo'on ichil merkaado	PERSON:1_PL
Ts'oka'an wáaj u beel	Ts'oka'an wáaj a beele'ex	PERSON:3_PL
Ma' ts'oka'an a beele'exi'	Ma' ts'oka'an u beeli'	PERSON:3_SI
Ma' a wojele'ex u ja'abili'	Ma' u yojel u ja'abili'	PERSON:3_SI
Te'exe' ti' a taale'exi'	To'one' ti' k taali'	PERSON:1_PL
Tu núukaj buka'aj u ja'abilo'ob	Tu núukaj buka'aj u ja'abil	PERSON:3_SI
Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	K'a'abéet in manik suuts' pak'áal tu k'íiwikil koonol	ASPECT:OBL
Leti'e' ts'oka'an wáaj u beel	Te'exe' ts'oka'an wáaj a beele'ex	PERSON:2_PL
Kin in suut koonol merkaado	Suuk in suut koonol merkaado	ASPECT:CUS
To'one' ti' kajakbalo'on tu yotoche'	Teche' ti' kajakbalech tu yotoche'	PERSON:2_SI
Tu yilaj wáaj u sáastal tu kaajal	Tu yilaj wáaj u sáastal tu kaajal	NOCHANGE
Ma' kajakbalo'ob tin wotochi'	Ma' kajakbalo'on tin wotochi'	PERSON:1_PL
Leti'e' ti' kajakbal tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	PERSON:1_PL
Ma' u chuko'ob u ja'abili'	Ma' u chuko'ob u ja'abili'	NOCHANGE
k'aaynaje'ex tu naajil xook	K'aaynajech tu naajil xook	PERSON:2_SI
Táan wáaj k boon tu naajil xook	Táan wáaj u boon tu naajil xook	PERSON:3_SI
Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	NOCHANGE
Yaan a suute'ex xook tu naajil xook	Yaan a suute'ex xook tu naajil xook	NOCHANGE
Ma' tu yilo'ob u sáastal tu kaajalo'obi'	Ma' ta wile'ex u sáastal ta kaajale'exi'	PERSON:2_PL
Tu'ux k'íiwikil koonol taak a jóok'ol koonol	Tu'ux k'íiwikil koonol suuk a jóok'ol koonol	ASPECT:CUS
Teche' ts'oka'an wáaj a beel	To'one' ts'oka'an wáaj k beel	PERSON:1_PL
Yaan k xook tu naajil xook	Yaan a xook tu naajil xook	PERSON:2_SI
Yaan wáaj a xooke'ex xook tu naajil xook	Yaan wáaj a xooke'ex xook tu naajil xook	NOCHANGE
Táan u xook tu naajil xook	Táan u xooko'ob tu naajil xook	PERSON:3_PL
Yaan in báaxal tu naajil báaxal	Yaan in báaxal tu naajil báaxal	NOCHANGE
Yaan k suut tu naajil xook	Yaan u suuto'ob tu naajil xook	PERSON:3_PL
To'one' k u'uyik wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS
Mix leti'ob kajakbalo'ob ta wotoch	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Leti'obe' ts'oka'an wáaj u beelo'ob	Leti'obe' ts'oka'an wáaj u beelo'ob	NOCHANGE
Táan k báaxal tu naajil báaxal	Táan u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Leti'e' jbúulij	Leti'e' jbúulij	NOCHANGE
Yaan a jochik chak nal ta kool	Yaan a jochike'ex chak nal ta koole'ex	PERSON:2_PL
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak a chukik u ja'abil	PERSON:2_SI
Jayp'éel k'iino'ob ka bine'ex merkaado	Jayp'éel k'iino'ob ku bino'ob merkaado	PERSON:3_PL
Yaan a boon tu naajil xook	Yaan a boone'ex xook tu naajil xook	PERSON:2_PL
Teche' ajkoonolech	Leti'e' ajkoonol	PERSON:3_SI
Táan wáaj u bin ich kool	Táan wáaj a bine'ex ich kool	PERSON:2_PL
Máax yéetel táan a bin koonol tu kúuchil báaxal	Máax yéetel taak a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:DES
Yaan a boon tu naajil xook	Yaan k boon tu naajil xook	PERSON:1_PL
Táan wáaj u bino'ob koonol tu k'íiwikil koonol	Táan wáaj u bino'ob koonol tu k'íiwikil koonol	NOCHANGE
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel ts'o'ok a bin koonol tu kúuchil báaxal	ASPECT:TER;TENSE:PAS_SIM
Leti'obe' u jatsmajuba'ob	Leti'e' u jatsmajubáaj	PERSON:3_SI
Ma' u yojel u ja'abili'	Ma' a wojele'ex u ja'abili'	PERSON:2_PL
Ta'aytak a chukike'ex u ja'abil	Ta'aytak a chukik u ja'abil	PERSON:2_SI
Tu'ux kajakbalo'on	Tu'ux kajakbalech	PERSON:2_SI
Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	To'one' áak'ab wáaj k bin tu k'íiwikil koonol	PERSON:1_PL
Yaan a boon tu naajil xook	Yaan a boon tu naajil xook	NOCHANGE
Leti'e' ti' kajakbal tu yotoche'	Teche' ti' kajakbalech tu yotoche'	PERSON:2_SI
Teche' ajkoonolech	Teche' ajkoonolech	NOCHANGE
Teche' ma' táan a bin paak'áal tu kool	Teche' ma' táan a bin paak'áal tu kool	NOCHANGE
Ts'oka'an wáaj k beel	Ts'oka'an wáaj a beele'ex	PERSON:3_PL
Ma' táan u bin ich kooli'	Ma' táan ek bin ich kooli'	PERSON:1_PL
Kin wilikech merkaado	Kin wilikech merkaado	NOCHANGE
Táan wáaj a bine'ex koonol merkaado	Táan wáaj u bino'ob koonol merkaado	PERSON:3_PL
Yaan wáaj u bin koonol tu k'íiwikil koonol	Yaan wáaj a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Táan wáaj k bin koonol merkaado	Táan wáaj u bino'ob koonol merkaado	PERSON:3_PL
Taak in bin koonol tu k'íiwikil koonol	Taak in bin koonol tu k'íiwikil koonol	NOCHANGE
Yaan wáaj u báaxalo'ob tu naajil báaxal	Yaan wáaj u báaxal tu naajil báaxal	PERSON:3_SI
Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	PERSON:3_SI
Ma' ts'oka'an u beelo'obi'	Ma' ts'oka'an a beeli'	PERSON:2_SI
Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	Leti'e' áak'ab ku bin tu k'íiwikil koonol	PERSON:3_SI
Yaan a boone'ex xook tu naajil xook	Yaan k boon tu naajil xook	PERSON:1_PL
Kin wilikech te' tu kúuchil báaxalo'	K'a'abéet in wilikech te' tu kúuchil báaxalo'	ASPECT:OBL
Yaan u boon tu naajil xook	Yaan u boono'ob tu naajil xook	PERSON:3_PL
Ma' k'aja'anto'on buka'aj k ja'abili'	Ma' k'aja'anto'on buka'aj k ja'abili'	NOCHANGE
To'one' áak'ab wáaj k bin tu k'íiwikil koonol	Teche' áak'ab wáaj ka bin tu k'íiwikil koonol	PERSON:2_SI
Sáansamal ka bin merkaado	Sáansamal ka bine'ex merkaado	PERSON:2_PL
Ma' u ya'alik u k'aaba'	Ma' u ya'aliko'ob u k'aaba'	PERSON:3_PL
Teche' ti' kajakbalech tu yotoche'	Teche' ti' kajakbalech tu yotoche'	NOCHANGE
Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Jach wáaj k'a'abéet a bin merkaado	Jach wáaj k'a'abéet a bin merkaado	NOCHANGE
Táan k boon tu naajil xook	Táan u boon tu naajil xook	PERSON:3_SI
Tu'ux k'íiwikil koonol suuk a jóok'ol koonol	Tu'ux k'íiwikil koonol suuk a jóok'ol koonol	NOCHANGE
Táan wáaj u boon tu naajil xook	Táan wáaj a boone'ex xook tu naajil xook	PERSON:2_PL
Mix te'ex kajakbale'ex ta wotoch	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Ta manaj wáaj a wotoch	Ta manaj wáaj a wotoch	NOCHANGE
Táan u meyaj tu kool	Táan u meyajo'ob ich kool	PERSON:3_PL
Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol	Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol	NOCHANGE
Jweene'ex merkaado	Jweene'ex merkaado	NOCHANGE
Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	NOCHANGE
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	NOCHANGE
Teche' ti' a taali'	Leti'obe' ti' u taalo'obi'	PERSON:3_PL
Leti'obe' kajakbalo'ob weye'	To'one' kajakbalo'on weye'	PERSON:1_PL
Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	To'one' áak'ab k bin tu k'íiwikil koonol	PERSON:1_PL
Jach wáaj k'a'abéet a bine'ex merkaado	Jach wáaj k'a'abéet in bin merkaado	PERSON:1_SI
Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'	NOCHANGE
Yaan wáaj a bine'ex koonol merkaado	Yaan wáaj a bin koonol merkaado	PERSON:2_SI
Leti'obe' ts'oka'an wáaj u beelo'ob	To'one' ts'oka'an wáaj k beel	PERSON:1_PL
Yaan u xooko'ob tu naajil xook	Yaan k xook tu naajil xook	PERSON:1_PL
Yaan in bisik ch'ujuko'ob tu k'íiwikil koonol	Yaan in bisik ch'ujuko'ob tu k'íiwikil koonol	NOCHANGE
Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'	Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'	NOCHANGE
To'one' kajakbalo'on weye'	Leti'obe' kajakbalo'ob weye'	PERSON:3_PL
jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	NOCHANGE
Ma' ts'oka'an a beele'exi'	Ma' ts'oka'an a beele'exi'	NOCHANGE
Janalnajen tu k'íiwikil koonol	Janalnajen tu k'íiwikil koonol	NOCHANGE
Teche' a k'aaba'e'	To'one' in k'aaba'one'	ASPECT:HAB;PERSON:1_PL
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
óok'otnaje'ex tu naajil xook	óok'otnaje'ex tu naajil xook	NOCHANGE
Yaan wáaj u bin koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ma' ts'oka'an k beeli'	Ma' ts'oka'an a beele'exi'	PERSON:3_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Teche' kajakbalech weye'	Teche' kajakbalech weye'	NOCHANGE
To'one' áak'ab wáaj kek bin merkaado	Leti'e' áak'ab wáaj ku bin merkaado	PERSON:3_SI
Ma' a wa'alike'ex u k'aaba'	Ma' u ya'aliko'ob u k'aaba'	PERSON:3_PL
To'one' áak'ab wáaj kek bin merkaado	To'one' áak'ab wáaj kek bin merkaado	NOCHANGE
Yaan wáaj a bin koonol merkaado	Yaan wáaj u bino'ob koonol merkaado	PERSON:3_PL
To'one' ti' k taali'	Leti'e' ti' u taali'	PERSON:3_SI
Yaan a báaxal tu naajil báaxal	Yaan a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Bajux tu bo'oto'ob ka ts'íibta'abo'ob naajil xook	Bajux tu bo'oto'ob ka ts'íibta'abo'ob naajil xook	NOCHANGE
Yaan in bin koonol tu k'íiwikil koonol	Kin bin koonol tu k'íiwikil koonol	ASPECT:HAB
Ta núukaj buka'aj a ja'abil	Ta núukaj buka'aj a ja'abil	NOCHANGE
Ta wile'ex wáaj u sáastal ta kaajale'ex	Tu yilaj wáaj u sáastal tu kaajal	PERSON:3_SI
Ma' ts'oka'an a beeli'	Ma' ts'oka'an u beeli'	PERSON:3_SI
Ma' táan a bine'ex koonol merkaadoi'	Ma' táan u bin koonol merkaadoi'	PERSON:3_SI
Tek núukaj buka'aj k ja'abil	Ta núukaj buka'aj a ja'abil	PERSON:2_SI
Tu núukaj buka'aj u ja'abilo'ob	Ta núukaje'ex buka'aj a ja'abile'ex	PERSON:2_PL
Yaan u boono'ob tu naajil xook	Yaan u boono'ob tu naajil xook	NOCHANGE
Táan u meyaj tu kool	Táan a meyaj ich kool	PERSON:2_SI
Ma' tin wilikech merkaado	Ma' tin wilikech merkaado	NOCHANGE
Yaan wáaj u báaxal tu naajil báaxal	Yaan wáaj k báaxal tu naajil báaxal	PERSON:1_PL
Ta núukaje'ex buka'aj a ja'abile'ex	Ta núukaje'ex buka'aj a ja'abile'ex	NOCHANGE
Táan a báaxale'ex báaxal tu naajil báaxal	Táan u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Yaan wáaj u báaxalo'ob tu naajil báaxal	Yaan wáaj a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Tu meentiko'ob janal ich kool	Tu meentiko'ob janal ich kool	NOCHANGE
Yaan in jaantik ch'ujuko'ob tu k'íiwikil koonol	Yaan in jaantik ch'ujuko'ob tu k'íiwikil koonol	NOCHANGE
Táan k suut tu naajil xook	Táan u suut tu naajil xook	PERSON:3_SI
Te'exe' ti' kajakbale'ex tu yotoche'	Leti'obe' ti' kajakbalo'ob tu yotoche'	PERSON:3_PL
Yaan wáaj u bino'ob ich kool	Yaan wáaj a bin ich kool	PERSON:2_SI
Yaan wáaj ek bin ich kool	Yaan wáaj u bino'ob ich kool	PERSON:3_PL
Jach wáaj k'a'abéet a bine'ex merkaado	Jach wáaj k'a'abéet u bin merkaado	PERSON:3_SI
Leti'e' u jatsmajubáaj	Te'exe' a jatsmajaba'ex	PERSON:2_PL
Táan u suut tu naajil xook	Táan a suut tu naajil xook	PERSON:2_SI
Jayp'éel k'iino'ob ku bin merkaado	Jayp'éel k'iino'ob ku bin merkaado	NOCHANGE
Ba'ax ja'abil jsíije'ex	Ba'ax ja'abil jsíijo'ob	PERSON:3_PL
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	NOCHANGE
Ma' táan k bin koonol merkaadoi'	Ma' táan a bine'ex koonol merkaadoi'	PERSON:2_PL
Táan in wilikech te' tu kúuchil báaxalo'	Kin wilikech te' tu kúuchil báaxalo'	ASPECT:HAB
Ma' ta wile'ex u sáastal ta kaajale'exi'	Ma' ta wile'ex u sáastal ta kaajale'exi'	NOCHANGE
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
To'onen yaanto'on xook ti' español	Te'exe' yaante'ex xook ti' español	PERSON:2_PL
Teche' ka báaxal tu naajil xook	leti'e ku báaxal tu naajil xook	PERSON:3_SI
Ta meentik janal ich kool	Tu meentik janal ich kool	PERSON:3_SI
Mix teen kajakbalen ta wotoch	Mix teen kajakbalen ta wotoch	NOCHANGE
Yaan in bin koonol tu k'íiwikil koonol	k'a'abéet in bin koonol tu k'íiwikil koonol	ASPECT:OBL
Tene' jbúulen	Tene' jbúulen	NOCHANGE
Ma' tu yu'ubik ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' táan in bin ich kooli'	Ma' táan in bin ich kooli'	NOCHANGE
Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Yaan k báaxal tu naajil báaxal	Yaan a báaxal tu naajil báaxal	PERSON:2_SI
Táan wáaj a báaxale'ex báaxal tu naajil báaxal	Táan wáaj u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Teche' áak'ab ka bin merkaado	To'one' áak'ab kek bin merkaado	PERSON:1_PL
Jach k'a'abéet in bin merkaado	Jach k'a'abéet a bine'ex merkaado	PERSON:2_PL
Táan wáaj u boono'ob tu naajil xook	Táan wáaj u boono'ob tu naajil xook	NOCHANGE
Táan a boon tu naajil xook	Táan a boone'ex xook tu naajil xook	PERSON:2_PL
Leti'e' yaan u áanalte'il u xook matemáticas	Teche' Yaan tech u áanalte'il a xook matemáticas	PERSON:2_SI
Yaan u boono'ob tu naajil xook	Yaan a boon tu naajil xook	PERSON:2_SI
Ts'oka'an wáaj k beel	Ts'oka'an wáaj a beel	PERSON:2_SI
Yaan wáaj a xooke'ex xook tu naajil xook	Yaan wáaj u xook tu naajil xook	PERSON:3_SI
Suuk in suut koonol merkaado	Táant in suut koonol merkaadoe'	ASPECT:IMM;TENSE:PAS_SIM
Ma' tin wilikech tu k'íiwikil koonol	Ma' ta wiliken tu k'íiwikil koonol	PERSON:2_SI
To'one' ti' kajakbalo'on tu yotoche'	Leti'e' ti' kajakbal tu yotoche'	PERSON:3_SI
Te'exe' ti' kajakbale'ex tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	PERSON:1_PL
Ma' u ya'alik u k'aaba'	Ma' a wa'alike'ex u k'aaba'	PERSON:2_PL
Te' a taal tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	NOCHANGE
To'one' in k'aaba'one'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
Táan u kaxtiko'ob a naajil	Tu kaxtik a najil	PERSON:3_SI
Te' a taal tu kaajil Kopomae'	Te' u taal tu kaajil Kopomae'	PERSON:3_SI
Jach k'a'abéet u bino'ob tu k'íiwikil koonol	Jach k'a'abéet u bin tu k'íiwikil koonol	PERSON:3_SI
Te'exe' a k'aaba'exe'	To'one' k k'aaba'e'	ASPECT:HAB;PERSON:1_PL
Ma' táan a bine'ex koonol merkaadoi'	Ma' táan k bin koonol merkaadoi'	PERSON:3_PL
k'a'abéet in bin koonol tu k'íiwikil koonol	Kin bin koonol tu k'íiwikil koonol	ASPECT:HAB
Yaan k xook tu naajil xook	Yaan u xook tu naajil xook	PERSON:3_SI
Teche' kajakbalech weye'	Leti'e' kajakbal weye'	PERSON:3_SI
Táan u suuto'ob tu naajil xook	Táan k suut tu naajil xook	PERSON:1_PL
Teche' jbúulech	Te'exe' jbúule'ex	PERSON:2_PL
Táan wáaj u bino'ob koonol tu k'íiwikil koonol	Táan wáaj a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Yaan k boon tu naajil xook	Yaan u boono'ob tu naajil xook	PERSON:3_PL
Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	NOCHANGE
Jach wáaj k'a'abéet u bino'ob merkaado	Jach wáaj k'a'abéet u bino'ob merkaado	NOCHANGE
k'a'abéet in bin koonol tu k'íiwikil koonol	k'a'abéet in bin koonol tu k'íiwikil koonol	NOCHANGE
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Ta'aytak in chukik u ja'abil	Ta'aytak in chukik u ja'abil	NOCHANGE
To'one' ti' in taalo'oni'	Leti'obe' ti' u taalo'obi'	PERSON:3_PL
Jbinen xook te' tu kúuchil báaxalo'	Jbinen xook te' tu kúuchil báaxalo'	NOCHANGE
Tin míistik in najil	Tin míistik in najil	NOCHANGE
Jayp'éel k'iino'ob ka bine'ex merkaado	Jayp'éel k'iino'ob ka bine'ex merkaado	NOCHANGE
